user_id,score_1_perc,score_2_perc,score_3_perc,score_4_perc,score_min1_perc
9e567848a7956a2092ffe217d0133711d00f1d8e1b27fa3140fc4667747df0be,33.33,0.0,0.0,0.0,66.67
25a4becc37d479539dc4bff56aef040bd64e3c4ae94ffcb86610d1fde38710fb,83.33,0.0,0.0,16.67,0.0
0265b772483ea1d12cc79e6a0da8434090401e2d62d497aaf6188338a0485e43,83.33,16.67,0.0,0.0,0.0
7020b6cff5a59cac3393128771ba346e6b8f6f6bb437e31ff36735de65075b58,50.0,33.33,16.67,0.0,0.0
c4c37cb6f1157d8be24ab42e9c19c0a323ddc253811013355029f81a325a13e4,,,,,
0dc3c3a135296fd754904773cceda0ef5534c1b28fdc39ed794daa72c51f9aaf,83.33,16.67,0.0,0.0,0.0
fb7971a0d6dc887ecd8ff3e36ce58ba855ad103d9efb701b51b8b471ff556210,100.0,0.0,0.0,0.0,0.0
a629ca126de91865949344dd2ae0d7573df9a71ab0470eff34dd667b7340ba9d,50.0,0.0,0.0,0.0,50.0
1e2baf77bbae6ed591034b858db1f598532fc68fa339fddcec569397e613fd2e,33.33,0.0,0.0,0.0,66.67
d07c2bb8a3e0fd816e1846876c55d0569e4b2a7d17acccc82657347a8e81b370,100.0,0.0,0.0,0.0,0.0
8a2acc1b3bafd7ed1f081f17f965b9e243648ba93ad75ee4e1cb059dc21fd291,66.67,0.0,0.0,33.33,0.0
edcfa7578a42b3dd318b0195b36abac21ee0acbffd8016e56a2c387feebab6de,33.33,33.33,16.67,16.67,0.0
c8e9666e9d0c4d24f134ea918b59bb2c1cf3fad5799a85f4f8c87d276ce991ef,66.67,16.67,0.0,16.67,0.0
462f9b528ec93818fb88f57ef9f321f57cac4312f5007fcc906792f4cc345695,16.67,0.0,0.0,0.0,83.33
2a8da34470e87d1ae6e1edb97342f7d774607625ec841058cc33afbad236e8ea,,,,,
dadc216c3be4bc456887e3220e9b60068281d8e86e99ce819a9cf6e8f184b9f3,83.33,0.0,0.0,16.67,0.0
022dd8d193792754a6743fcdcbb048bad8dc4b67bf4c57bdfb308df32614d569,16.67,33.33,0.0,50.0,0.0
