Date,Category1,Category2,Category3,Maker,Sales,Identifier
2011-04-01,Air,Conditioners,null,Toshino,3438.0,RVFWTWSMNU
2011-04-01,Refrigerators,null,null,Akaza,1525.0,XVIOZZOUTN
2011-04-01,Ovens,&,Cooktops,Shimada,,WVJTPVZKAQ
2011-04-01,Air,Conditioners,null,Funami,1164.0,HWQKLKDVSB
2011-04-01,Rice,Cookers,null,Toshino,5326.0,ECQPIOYXZO
2011-04-01,Refrigerators,null,null,Yoshikawa,6266.0,UG2IU3EFWI
2011-04-01,Washers,&,Dryers,Kikuma,1019.0,QFY2WV5LUE
2011-04-01,Water,Pumps,null,Funami,16612.0,ZJPMAJIMIT
2011-04-01,Vacuum,Cleaners,null,Toshino,496.0,NHXJMH55UY
2011-04-01,Washers,&,Dryers,Hayashida,1078.0,AHJK2FTTBH
2011-04-01,Water,Heaters,null,Furutani,681.0,PF4KB33DVZ
2011-04-01,Vacuum,Cleaners,null,Akaza,363.0,ZBYVQNRPUP
2011-04-01,Dishwashers,null,null,Nanase,4782.0,AVXSMNNRDX
2011-04-01,Refrigerators,null,null,Shimada,,SFCA6H6QNU
2011-04-01,Dishwashers,null,null,Matsumoto,1101.0,UPHDCCFDRL
2011-04-01,Washers,&,Dryers,Okamoto,2292.0,FUFHZH9WRW
2011-04-01,Televisions,null,null,Katayama,75.0,VZAQLWEGXU
2011-04-01,Refrigerators,null,null,Hisami,154.0,MXC7NMNBIW
2011-04-01,Rice,Cookers,null,Akaza,380.0,KSNN8R2CCO
2011-04-01,Dishwashers,null,null,Sugiura,1947.0,KR2Q6QT8PE
2011-04-01,Ovens,&,Cooktops,Omuro,48121.0,HWTFIGIXOL
2011-04-01,Refrigerators,null,null,Funami,1829.0,BIBIOOIHA
2011-04-01,Ovens,&,Cooktops,Sugiura,3877.0,LBABGBBMJJ
2011-04-01,Ovens,&,Cooktops,Toshino,4390.0,LFIEXBAPFQ
2011-04-01,Rice,Cookers,null,Matsumoto,2019.0,TJLYGOSEBQ
2011-04-01,Water,Heaters,null,Sugiura,,UPJKNMIDRB
2011-04-01,Refrigerators,null,null,Nanase,679.0,GQUIAFQIRH
2011-04-01,Rice,Cookers,null,Funami,2596.0,YPD6CTR0JA
2011-04-01,Air,Conditioners,null,Akaza,1613.0,IVOI4I03JA
2011-04-01,Refrigerators,null,null,Omuro,7093.0,FUWHINIXUA
2011-04-01,Vacuum,Cleaners,null,Hisami,834.0,VNZSEQOSNP
2011-04-01,Ovens,&,Cooktops,Ikeda,297.0,ZTEIJGNYNC
2011-04-01,Air,Conditioners,null,Yoshikawa,1858.0,NTMMOBBPEE
2011-04-01,Water,Pumps,null,Yoshikawa,1984.0,TLSY3MWMK8
2011-04-01,Washers,&,Dryers,Akaza,5775.0,VUQUQMHODG
2011-04-01,Vacuum,Cleaners,null,Hayashida,215.0,GCPKFKSEWG
2011-04-01,Washers,&,Dryers,Shimada,3733.0,RBRMDIXXGL
2011-04-01,Dishwashers,null,null,Katayama,1849.0,ZWNGQMERMH
2011-04-01,Televisions,null,null,Okamoto,696.0,HANYALJGGA
2011-04-01,Rice,Cookers,null,Ikeda,699.0,JYINACMKHE
2011-04-01,Televisions,null,null,Shimada,177.0,GHOAPVUVYL
2011-04-01,Ovens,&,Cooktops,Akaza,546.0,PHFB77Q5OA
2011-04-01,Rice,Cookers,null,Furutani,3078.0,ZJZZJNDFOZ
2011-04-01,Vacuum,Cleaners,null,Funami,569.0,VEWPPXWTWS
2011-04-01,Water,Pumps,null,Furutani,9561.0,FVDHIZGQRC
