Date,Category1,Category2,Category3,Maker,Sales,Identifier
2013-01-02,Vacuum,Cleaners,null,Funami,933.0,VEWPPXWTWS
2013-01-02,Televisions,null,null,Shimada,735.0,GHOAPVUVYL
2013-01-02,Air,Conditioners,null,Yoshikawa,1893.0,NTMMOBBPEE
2013-01-02,Washers,&,Dryers,Okamoto,2200.0,FUFHZH9WRW
2013-01-02,Air,Conditioners,null,Funami,1416.0,HWQKLKDVSB
2013-01-02,Rice,Cookers,null,Toshino,5824.0,ECQPIOYXZO
2013-01-02,Vacuum,Cleaners,null,Akaza,789.0,ZBYVQNRPUP
2013-01-02,Washers,&,Dryers,Kikuma,1223.0,QFY2WV5LUE
2013-01-02,Rice,Cookers,null,Matsumoto,3601.0,TJLYGOSEBQ
2013-01-02,Refrigerators,null,null,Hisami,139.0,MXC7NMNBIW
2013-01-02,Water,Pumps,null,Furutani,15944.0,FVDHIZGQRC
2013-01-02,Water,Pumps,null,Yoshikawa,2732.0,TLSY3MWMK8
2013-01-02,Washers,&,Dryers,Hayashida,2475.0,AHJK2FTTBH
2013-01-02,Ovens,&,Cooktops,Ikeda,179.0,ZTEIJGNYNC
2013-01-02,Air,Conditioners,null,Toshino,4119.0,RVFWTWSMNU
2013-01-02,Refrigerators,null,null,Funami,1112.0,BIBIOOIHA
2013-01-02,Dishwashers,null,null,Katayama,1126.0,ZWNGQMERMH
2013-01-02,Rice,Cookers,null,Furutani,4349.0,ZJZZJNDFOZ
2013-01-02,Washers,&,Dryers,Akaza,7482.0,VUQUQMHODG
2013-01-02,Refrigerators,null,null,Shimada,1911.0,SFCA6H6QNU
2013-01-02,Dishwashers,null,null,Nanase,2525.0,AVXSMNNRDX
2013-01-02,Rice,Cookers,null,Akaza,674.0,KSNN8R2CCO
2013-01-02,Refrigerators,null,null,Akaza,1137.0,XVIOZZOUTN
2013-01-02,Washers,&,Dryers,Shimada,5290.0,RBRMDIXXGL
2013-01-02,Vacuum,Cleaners,null,Hayashida,221.0,GCPKFKSEWG
2013-01-02,Ovens,&,Cooktops,Omuro,42147.0,HWTFIGIXOL
2013-01-02,Dishwashers,null,null,Sugiura,1112.0,KR2Q6QT8PE
2013-01-02,Water,Heaters,null,Sugiura,1409.0,UPJKNMIDRB
