Date,Category1,Category2,Category3,Maker,Sales,Identifier
2014-10-01,Water,Heaters,null,Ikeda,1122.0,AHSRVKIOLJ
2014-10-01,Water,Pumps,null,Funami,21660.0,ZJPMAJIMIT
2014-10-01,Washers,&,Dryers,Kikuma,1657.0,QFY2WV5LUE
2014-10-01,Ovens,&,Cooktops,Toshino,2598.0,LFIEXBAPFQ
2014-10-01,Washers,&,Dryers,Akaza,6977.0,VUQUQMHODG
2014-10-01,Rice,Cookers,null,Furutani,6360.0,ZJZZJNDFOZ
2014-10-01,Water,Pumps,null,Yoshikawa,2582.0,TLSY3MWMK8
2014-10-01,Ovens,&,Cooktops,Sugiura,5908.0,LBABGBBMJJ
2014-10-01,Vacuum,Cleaners,null,Toshino,772.0,NHXJMH55UY
2014-10-01,Air,Conditioners,null,Yoshikawa,5578.0,NTMMOBBPEE
2014-10-01,Rice,Cookers,null,Matsumoto,4157.0,TJLYGOSEBQ
2014-10-01,Refrigerators,null,null,Akaza,1311.0,XVIOZZOUTN
2014-10-01,Water,Heaters,null,Sugiura,2507.0,UPJKNMIDRB
2014-10-01,Rice,Cookers,null,Funami,5592.0,YPD6CTR0JA
2014-10-01,Water,Heaters,null,Furutani,2159.0,PF4KB33DVZ
2014-10-01,Air,Conditioners,null,Akaza,,IVOI4I03JA
2014-10-01,Vacuum,Cleaners,null,Hayashida,407.0,GCPKFKSEWG
2014-10-01,Ovens,&,Cooktops,Shimada,1156.0,WVJTPVZKAQ
2014-10-01,Vacuum,Cleaners,null,Funami,1208.0,VEWPPXWTWS
2014-10-01,Rice,Cookers,null,Toshino,6986.0,ECQPIOYXZO
2014-10-01,Televisions,null,null,Shimada,1144.0,GHOAPVUVYL
2014-10-01,Dishwashers,null,null,Katayama,1209.0,ZWNGQMERMH
2014-10-01,Ovens,&,Cooktops,Akaza,723.0,PHFB77Q5OA
2014-10-01,Air,Conditioners,null,Toshino,5058.0,RVFWTWSMNU
2014-10-01,Televisions,null,null,Kikuma,326.0,FRBLLORNXN
2014-10-01,Washers,&,Dryers,Okamoto,1549.0,FUFHZH9WRW
2014-10-01,Dishwashers,null,null,Nanase,3651.0,AVXSMNNRDX
2014-10-01,Ovens,&,Cooktops,Omuro,26033.0,HWTFIGIXOL
2014-10-01,Televisions,null,null,Okamoto,1676.0,HANYALJGGA
2014-10-01,Washers,&,Dryers,Shimada,4558.0,RBRMDIXXGL
2014-10-01,Vacuum,Cleaners,null,Hisami,1569.0,VNZSEQOSNP
2014-10-01,Refrigerators,null,null,Shimada,1971.0,SFCA6H6QNU
2014-10-01,Refrigerators,null,null,Nanase,663.0,GQUIAFQIRH
2014-10-01,Refrigerators,null,null,Omuro,13016.0,FUWHINIXUA
2014-10-01,Washers,&,Dryers,Hayashida,3368.0,AHJK2FTTBH
2014-10-01,Ovens,&,Cooktops,Ikeda,632.0,ZTEIJGNYNC
2014-10-01,Water,Pumps,null,Ikeda,376.0,VYD6DV2OVE
2014-10-01,Refrigerators,null,null,Hisami,,MXC7NMNBIW
2014-10-01,Refrigerators,null,null,Yoshikawa,3941.0,UG2IU3EFWI
2014-10-01,Vacuum,Cleaners,null,Akaza,,ZBYVQNRPUP
2014-10-01,Televisions,null,null,Katayama,171.0,VZAQLWEGXU
2014-10-01,Rice,Cookers,null,Ikeda,1233.0,JYINACMKHE
2014-10-01,Rice,Cookers,null,Akaza,1229.0,KSNN8R2CCO
2014-10-01,Water,Pumps,null,Furutani,15161.0,FVDHIZGQRC
2014-10-01,Dishwashers,null,null,Sugiura,918.0,KR2Q6QT8PE
2014-10-01,Air,Conditioners,null,Funami,2149.0,HWQKLKDVSB
2014-10-01,Water,Heaters,null,Omuro,848.0,POEZMGDXLN
2014-10-01,Refrigerators,null,null,Funami,961.0,BIBIOOIHA
2014-10-01,Dishwashers,null,null,Matsumoto,466.0,UPHDCCFDRL
2014-10-02,Refrigerators,null,null,Akaza,1308.0,XVIOZZOUTN
2014-10-02,Water,Heaters,null,Furutani,2098.0,PF4KB33DVZ
2014-10-02,Refrigerators,null,null,Yoshikawa,3898.0,UG2IU3EFWI
2014-10-02,Rice,Cookers,null,Ikeda,1176.0,JYINACMKHE
2014-10-02,Ovens,&,Cooktops,Omuro,26386.0,HWTFIGIXOL
2014-10-02,Washers,&,Dryers,Hayashida,3368.0,AHJK2FTTBH
2014-10-02,Refrigerators,null,null,Omuro,12418.0,FUWHINIXUA
2014-10-02,Refrigerators,null,null,Funami,944.0,BIBIOOIHA
2014-10-02,Air,Conditioners,null,Akaza,1145.0,IVOI4I03JA
2014-10-02,Dishwashers,null,null,Nanase,3493.0,AVXSMNNRDX
2014-10-02,Washers,&,Dryers,Okamoto,1469.0,FUFHZH9WRW
2014-10-02,Washers,&,Dryers,Kikuma,1645.0,QFY2WV5LUE
2014-10-02,Vacuum,Cleaners,null,Toshino,731.0,NHXJMH55UY
2014-10-02,Televisions,null,null,Katayama,150.0,VZAQLWEGXU
2014-10-02,Air,Conditioners,null,Yoshikawa,5182.0,NTMMOBBPEE
2014-10-02,Refrigerators,null,null,Hisami,100.0,MXC7NMNBIW
2014-10-02,Televisions,null,null,Kikuma,322.0,FRBLLORNXN
2014-10-02,Ovens,&,Cooktops,Toshino,2578.0,LFIEXBAPFQ
2014-10-02,Dishwashers,null,null,Katayama,1262.0,ZWNGQMERMH
2014-10-02,Ovens,&,Cooktops,Akaza,704.0,PHFB77Q5OA
2014-10-02,Rice,Cookers,null,Matsumoto,3931.0,TJLYGOSEBQ
2014-10-02,Vacuum,Cleaners,null,Hisami,1503.0,VNZSEQOSNP
2014-10-02,Dishwashers,null,null,Matsumoto,450.0,UPHDCCFDRL
2014-10-02,Water,Pumps,null,Ikeda,360.0,VYD6DV2OVE
2014-10-02,Rice,Cookers,null,Funami,5396.0,YPD6CTR0JA
2014-10-02,Rice,Cookers,null,Furutani,6326.0,ZJZZJNDFOZ
2014-10-02,Air,Conditioners,null,Toshino,4960.0,RVFWTWSMNU
2014-10-02,Rice,Cookers,null,Akaza,1204.0,KSNN8R2CCO
2014-10-02,Washers,&,Dryers,Akaza,6594.0,VUQUQMHODG
2014-10-02,Ovens,&,Cooktops,Sugiura,5757.0,LBABGBBMJJ
2014-10-02,Televisions,null,null,Shimada,1100.0,GHOAPVUVYL
2014-10-02,Vacuum,Cleaners,null,Funami,1146.0,VEWPPXWTWS
2014-10-02,Ovens,&,Cooktops,Ikeda,603.0,ZTEIJGNYNC
2014-10-02,Water,Heaters,null,Omuro,826.0,POEZMGDXLN
2014-10-02,Refrigerators,null,null,Shimada,1996.0,SFCA6H6QNU
2014-10-02,Refrigerators,null,null,Nanase,655.0,GQUIAFQIRH
2014-10-02,Water,Pumps,null,Yoshikawa,2576.0,TLSY3MWMK8
2014-10-02,Air,Conditioners,null,Funami,2076.0,HWQKLKDVSB
2014-10-02,Water,Heaters,null,Sugiura,2415.0,UPJKNMIDRB
2014-10-02,Televisions,null,null,Okamoto,1651.0,HANYALJGGA
2014-10-02,Washers,&,Dryers,Shimada,4334.0,RBRMDIXXGL
2014-10-02,Water,Heaters,null,Ikeda,1074.0,AHSRVKIOLJ
2014-10-02,Vacuum,Cleaners,null,Akaza,969.0,ZBYVQNRPUP
2014-10-02,Vacuum,Cleaners,null,Hayashida,386.0,GCPKFKSEWG
2014-10-02,Ovens,&,Cooktops,Shimada,1111.0,WVJTPVZKAQ
2014-10-02,Rice,Cookers,null,Toshino,6818.0,ECQPIOYXZO
2014-10-02,Water,Pumps,null,Funami,21025.0,ZJPMAJIMIT
2014-10-02,Water,Pumps,null,Furutani,14724.0,FVDHIZGQRC
2014-10-02,Dishwashers,null,null,Sugiura,875.0,KR2Q6QT8PE
2014-10-03,Washers,&,Dryers,Akaza,6578.0,VUQUQMHODG
2014-10-03,Dishwashers,null,null,Katayama,1229.0,ZWNGQMERMH
2014-10-03,Rice,Cookers,null,Furutani,6130.0,ZJZZJNDFOZ
2014-10-03,Televisions,null,null,Shimada,1075.0,GHOAPVUVYL
2014-10-03,Air,Conditioners,null,Yoshikawa,5102.0,NTMMOBBPEE
2014-10-03,Rice,Cookers,null,Akaza,1199.0,KSNN8R2CCO
2014-10-03,Televisions,null,null,Katayama,160.0,VZAQLWEGXU
2014-10-03,Vacuum,Cleaners,null,Toshino,711.0,NHXJMH55UY
2014-10-03,Water,Pumps,null,Furutani,14642.0,FVDHIZGQRC
2014-10-03,Washers,&,Dryers,Kikuma,1649.0,QFY2WV5LUE
2014-10-03,Ovens,&,Cooktops,Omuro,27037.0,HWTFIGIXOL
2014-10-03,Ovens,&,Cooktops,Akaza,709.0,PHFB77Q5OA
2014-10-03,Refrigerators,null,null,Hisami,99.0,MXC7NMNBIW
2014-10-03,Water,Pumps,null,Yoshikawa,2544.0,TLSY3MWMK8
2014-10-03,Air,Conditioners,null,Toshino,4818.0,RVFWTWSMNU
2014-10-03,Rice,Cookers,null,Matsumoto,3799.0,TJLYGOSEBQ
2014-10-03,Ovens,&,Cooktops,Shimada,1111.0,WVJTPVZKAQ
2014-10-03,Vacuum,Cleaners,null,Akaza,956.0,ZBYVQNRPUP
2014-10-03,Water,Heaters,null,Ikeda,1009.0,AHSRVKIOLJ
2014-10-03,Refrigerators,null,null,Yoshikawa,3918.0,UG2IU3EFWI
2014-10-03,Refrigerators,null,null,Akaza,1296.0,XVIOZZOUTN
2014-10-03,Water,Heaters,null,Omuro,786.0,POEZMGDXLN
2014-10-03,Water,Pumps,null,Ikeda,363.0,VYD6DV2OVE
2014-10-03,Refrigerators,null,null,Omuro,12137.0,FUWHINIXUA
2014-10-03,Ovens,&,Cooktops,Toshino,2580.0,LFIEXBAPFQ
2014-10-03,Ovens,&,Cooktops,Ikeda,561.0,ZTEIJGNYNC
2014-10-03,Dishwashers,null,null,Nanase,3568.0,AVXSMNNRDX
2014-10-03,Air,Conditioners,null,Funami,2005.0,HWQKLKDVSB
2014-10-03,Dishwashers,null,null,Sugiura,869.0,KR2Q6QT8PE
2014-10-03,Rice,Cookers,null,Toshino,6759.0,ECQPIOYXZO
2014-10-03,Air,Conditioners,null,Akaza,1086.0,IVOI4I03JA
2014-10-03,Water,Pumps,null,Funami,21076.0,ZJPMAJIMIT
2014-10-03,Vacuum,Cleaners,null,Hisami,1444.0,VNZSEQOSNP
2014-10-03,Refrigerators,null,null,Funami,,BIBIOOIHA
2014-10-03,Vacuum,Cleaners,null,Funami,1097.0,VEWPPXWTWS
2014-10-03,Rice,Cookers,null,Ikeda,1151.0,JYINACMKHE
2014-10-03,Televisions,null,null,Kikuma,317.0,FRBLLORNXN
2014-10-03,Water,Heaters,null,Sugiura,2310.0,UPJKNMIDRB
2014-10-03,Refrigerators,null,null,Nanase,637.0,GQUIAFQIRH
2014-10-03,Dishwashers,null,null,Matsumoto,443.0,UPHDCCFDRL
2014-10-03,Ovens,&,Cooktops,Sugiura,5844.0,LBABGBBMJJ
2014-10-03,Vacuum,Cleaners,null,Hayashida,,GCPKFKSEWG
2014-10-03,Refrigerators,null,null,Shimada,1997.0,SFCA6H6QNU
2014-10-03,Rice,Cookers,null,Funami,,YPD6CTR0JA
2014-10-03,Washers,&,Dryers,Hayashida,3350.0,AHJK2FTTBH
2014-10-03,Washers,&,Dryers,Shimada,4599.0,RBRMDIXXGL
2014-10-03,Water,Heaters,null,Furutani,2070.0,PF4KB33DVZ
2014-10-03,Televisions,null,null,Okamoto,1678.0,HANYALJGGA
2014-10-03,Washers,&,Dryers,Okamoto,1463.0,FUFHZH9WRW
2014-10-06,Rice,Cookers,null,Furutani,6137.0,ZJZZJNDFOZ
2014-10-06,Refrigerators,null,null,Nanase,639.0,GQUIAFQIRH
2014-10-06,Televisions,null,null,Shimada,1074.0,GHOAPVUVYL
